route_num,pointA,pointB,route_name,route_name_py,day,schedule_start,schedule_end,interval_mins,num_trips
route_01,Quezon City Hall,Cubao,Quezon City Hall to Cubao,Route 1 - from QC Hall,weekday,6:00,11:30,10,33.00
route_01,Quezon City Hall,Cubao,Quezon City Hall to Cubao,Route 1 - from QC Hall,weekday,11:30,16:00,30,9.00
route_01,Quezon City Hall,Cubao,Quezon City Hall to Cubao,Route 1 - from QC Hall,weekday,16:00,20:00,10,24.00
route_01,Quezon City Hall,Cubao,Quezon City Hall to Cubao,Route 1 - from QC Hall,weekday,20:00,20:30,30,1.00
route_01,Quezon City Hall,Cubao,Quezon City Hall to Cubao,Route 1 - from QC Hall,saturday,6:30,20:30,30,28.00
route_01,Quezon City Hall,Cubao,Quezon City Hall to Cubao,Route 1 - from QC Hall,sunday,8:00,20:00,60,12.00
route_01,Cubao,Quezon City Hall,Cubao to Quezon City Hall,Route 1 - to QC Hall,weekday,6:00,11:30,10,33.00
route_01,Cubao,Quezon City Hall,Cubao to Quezon City Hall,Route 1 - to QC Hall,weekday,11:30,16:00,30,9.00
route_01,Cubao,Quezon City Hall,Cubao to Quezon City Hall,Route 1 - to QC Hall,weekday,16:00,20:00,10,24.00
route_01,Cubao,Quezon City Hall,Cubao to Quezon City Hall,Route 1 - to QC Hall,weekday,20:00,20:30,30,1.00
route_01,Cubao,Quezon City Hall,Cubao to Quezon City Hall,Route 1 - to QC Hall,saturday,6:30,20:30,30,28.00
route_01,Cubao,Quezon City Hall,Cubao to Quezon City Hall,Route 1 - to QC Hall,sunday,8:00,20:00,60,12.00
route_02,Quezon City Hall,Litex-IBP Road,Quezon City Hall to Litex-IBP Road,Route 2 - from QC Hall,weekday,6:00,9:00,6,30.00
route_02,Quezon City Hall,Litex-IBP Road,Quezon City Hall to Litex-IBP Road,Route 2 - from QC Hall,weekday,9:00,16:00,30,14.00
route_02,Quezon City Hall,Litex-IBP Road,Quezon City Hall to Litex-IBP Road,Route 2 - from QC Hall,weekday,16:00,20:00,6,40.00
route_02,Quezon City Hall,Litex-IBP Road,Quezon City Hall to Litex-IBP Road,Route 2 - from QC Hall,weekday,20:00,21:00,30,2.00
route_02,Quezon City Hall,Litex-IBP Road,Quezon City Hall to Litex-IBP Road,Route 2 - from QC Hall,saturday,6:30,20:30,30,28.00
route_02,Quezon City Hall,Litex-IBP Road,Quezon City Hall to Litex-IBP Road,Route 2 - from QC Hall,sunday,8:00,20:00,60,12.00
route_02,Litex-IBP Road,Quezon City Hall,Litex-IBP Road to Quezon City Hall,Route 2 - to QC Hall,weekday,5:30,9:00,6,35.00
route_02,Litex-IBP Road,Quezon City Hall,Litex-IBP Road to Quezon City Hall,Route 2 - to QC Hall,weekday,9:00,16:00,30,14.00
route_02,Litex-IBP Road,Quezon City Hall,Litex-IBP Road to Quezon City Hall,Route 2 - to QC Hall,weekday,16:00,20:00,6,40.00
route_02,Litex-IBP Road,Quezon City Hall,Litex-IBP Road to Quezon City Hall,Route 2 - to QC Hall,saturday,6:30,20:30,30,28.00
route_02,Litex-IBP Road,Quezon City Hall,Litex-IBP Road to Quezon City Hall,Route 2 - to QC Hall,sunday,8:00,20:00,60,12.00
route_03,Welcome Rotonda,Aurora-Katipunan,Welcome Rotonda to Aurora-Katipunan,Route 3 - to LRT Katipunan,weekday,6:40,9:00,20,7.00
route_03,Welcome Rotonda,Aurora-Katipunan,Welcome Rotonda to Aurora-Katipunan,Route 3 - to LRT Katipunan,weekday,9:00,17:00,30,16.00
route_03,Welcome Rotonda,Aurora-Katipunan,Welcome Rotonda to Aurora-Katipunan,Route 3 - to LRT Katipunan,weekday,17:00,19:00,20,6.00
route_03,Welcome Rotonda,Aurora-Katipunan,Welcome Rotonda to Aurora-Katipunan,Route 3 - to LRT Katipunan,saturday,7:00,19:00,60,12.00
route_03,Welcome Rotonda,Aurora-Katipunan,Welcome Rotonda to Aurora-Katipunan,Route 3 - to LRT Katipunan,sunday,8:00,20:00,60,12.00
route_03,Aurora-Katipunan,Welcome Rotonda,Aurora-Katipunan to Welcome Rotonda,Route 3 - from LRT Katipunan,weekday,6:40,9:00,20,7.00
route_03,Aurora-Katipunan,Welcome Rotonda,Aurora-Katipunan to Welcome Rotonda,Route 3 - from LRT Katipunan,weekday,9:00,17:00,30,16.00
route_03,Aurora-Katipunan,Welcome Rotonda,Aurora-Katipunan to Welcome Rotonda,Route 3 - from LRT Katipunan,weekday,17:00,19:00,20,6.00
route_03,Aurora-Katipunan,Welcome Rotonda,Aurora-Katipunan to Welcome Rotonda,Route 3 - from LRT Katipunan,saturday,7:00,19:00,60,12.00
route_03,Aurora-Katipunan,Welcome Rotonda,Aurora-Katipunan to Welcome Rotonda,Route 3 - from LRT Katipunan,sunday,8:00,20:00,60,12.00
route_04,Quezon City Hall,General Luis,Quezon City Hall to General Luis,Route 4 - from QC Hall,weekday,5:40,9:00,10,20.00
